cas,temperatura,vlaznost
10.02.2016 0:00,8.0,84
10.02.2016 1:00,8.0,82
10.02.2016 2:00,8.0,82
10.02.2016 3:00,8.0,85
10.02.2016 4:00,8.0,88
10.02.2016 5:00,7.0,86
10.02.2016 6:00,6.0,86
10.02.2016 7:00,6.0,85
10.02.2016 8:00,5.0,79
10.02.2016 9:00,5.0,75
10.02.2016 10:00,5.0,72
10.02.2016 11:00,5.0,71
10.02.2016 12:00,5.0,75
10.02.2016 13:00,5.0,67
10.02.2016 14:00,5.0,65
10.02.2016 15:00,6.0,62
10.02.2016 16:00,7.0,57
10.02.2016 17:00,5.0,68
10.02.2016 18:00,3.0,74
10.02.2016 19:00,3.0,77
10.02.2016 20:00,2.0,80
10.02.2016 21:00,1.0,82
10.02.2016 22:00,0.0,83
10.02.2016 23:00,-1.0,82
11.02.2016 0:00,-2.0,88
11.02.2016 1:00,-3.0,86
11.02.2016 2:00,-4.0,87
11.02.2016 3:00,-4.0,88
11.02.2016 4:00,-5.0,96
11.02.2016 5:00,-4.0,88
11.02.2016 6:00,-4.0,90
11.02.2016 7:00,-4.0,90
11.02.2016 8:00,-3.0,88
11.02.2016 9:00,-1.0,89
11.02.2016 10:00,1.0,84
11.02.2016 11:00,3.0,77
11.02.2016 12:00,5.0,70
11.02.2016 13:00,6.0,66
11.02.2016 14:00,6.0,60
11.02.2016 15:00,8.0,55
11.02.2016 16:00,7.0,57
11.02.2016 17:00,5.0,64
11.02.2016 18:00,3.0,71
11.02.2016 19:00,1.0,73
11.02.2016 20:00,0.0,77
11.02.2016 21:00,0.0,79
11.02.2016 22:00,-1.0,81
11.02.2016 23:00,-3.0,93
12.02.2016 0:00,-3.0,100
12.02.2016 1:00,-3.0,94
12.02.2016 2:00,-2.0,94
12.02.2016 3:00,-2.0,93
12.02.2016 4:00,-2.0,94
12.02.2016 5:00,-2.0,91
12.02.2016 6:00,-2.0,92
12.02.2016 7:00,-2.0,89
12.02.2016 8:00,-1.0,90
12.02.2016 9:00,0.0,93
12.02.2016 10:00,2.0,91
12.02.2016 11:00,3.0,87
12.02.2016 12:00,3.0,86
12.02.2016 13:00,3.0,85
12.02.2016 14:00,4.0,79
12.02.2016 15:00,4.0,76
12.02.2016 16:00,4.0,79
12.02.2016 17:00,3.0,83
12.02.2016 18:00,2.0,86
12.02.2016 19:00,2.0,88
12.02.2016 20:00,2.0,88
12.02.2016 21:00,2.0,86
12.02.2016 22:00,2.0,85
12.02.2016 23:00,2.0,86
13.02.2016 0:00,1.0,91
13.02.2016 1:00,1.0,89
13.02.2016 2:00,1.0,89
13.02.2016 3:00,1.0,90
13.02.2016 4:00,1.0,91
13.02.2016 5:00,1.0,89
13.02.2016 6:00,1.0,89
13.02.2016 7:00,1.0,88
13.02.2016 8:00,1.0,88
13.02.2016 9:00,1.0,92
13.02.2016 10:00,2.0,92
13.02.2016 11:00,3.0,89
13.02.2016 12:00,5.0,81
13.02.2016 13:00,5.0,79
13.02.2016 14:00,5.0,74
13.02.2016 15:00,5.0,73
13.02.2016 16:00,6.0,71
13.02.2016 17:00,4.0,81
13.02.2016 18:00,2.0,85
13.02.2016 19:00,-1.0,96
13.02.2016 20:00,1.0,88
13.02.2016 21:00,0.0,88
13.02.2016 22:00,1.0,87
13.02.2016 23:00,1.0,90
14.02.2016 0:00,2.0,88
14.02.2016 1:00,2.0,85
14.02.2016 2:00,2.0,89
14.02.2016 3:00,1.0,92
14.02.2016 4:00,1.0,92
14.02.2016 5:00,0.0,92
14.02.2016 6:00,0.0,92
14.02.2016 7:00,0.0,93
14.02.2016 8:00,0.0,96
14.02.2016 9:00,2.0,98
14.02.2016 10:00,4.0,97
14.02.2016 11:00,5.0,98
14.02.2016 12:00,6.0,94
14.02.2016 13:00,5.0,94
14.02.2016 14:00,6.0,88
14.02.2016 15:00,6.0,80
14.02.2016 16:00,5.0,84
14.02.2016 17:00,5.0,89
14.02.2016 18:00,4.0,90
14.02.2016 19:00,3.0,94
14.02.2016 20:00,3.0,96
14.02.2016 21:00,3.0,96
14.02.2016 22:00,4.0,94
14.02.2016 23:00,4.0,95
15.02.2016 0:00,2.0,100
15.02.2016 1:00,2.0,100
15.02.2016 2:00,3.0,96
15.02.2016 3:00,2.0,98
15.02.2016 4:00,2.0,100
15.02.2016 5:00,2.0,96
15.02.2016 6:00,2.0,100
15.02.2016 7:00,3.0,97
15.02.2016 8:00,3.0,96
15.02.2016 9:00,3.0,98
15.02.2016 10:00,4.0,98
15.02.2016 11:00,5.0,97
15.02.2016 12:00,6.0,92
15.02.2016 13:00,5.0,91
15.02.2016 14:00,6.0,87
15.02.2016 15:00,7.0,78
15.02.2016 16:00,5.0,88
15.02.2016 17:00,3.0,96
15.02.2016 18:00,2.0,97
15.02.2016 19:00,2.0,98
15.02.2016 20:00,2.0,97
15.02.2016 21:00,2.0,94
15.02.2016 22:00,2.0,92
15.02.2016 23:00,2.0,93
16.02.2016 0:00,0.0,98
