cas,temperatura
11.02.2016 00:00,-3.0
11.02.2016 01:00,-3.0
11.02.2016 02:00,-4.0
11.02.2016 03:00,-4.0
11.02.2016 04:00,-4.0
11.02.2016 05:00,-4.0
11.02.2016 06:00,-4.0
11.02.2016 07:00,-6.0
11.02.2016 08:00,-6.0
11.02.2016 09:00,-3.0
11.02.2016 10:00,-0.0
11.02.2016 11:00,1.0
11.02.2016 12:00,0.0
11.02.2016 13:00,0.0
11.02.2016 14:00,0.0
11.02.2016 15:00,1.0
11.02.2016 16:00,0.0
11.02.2016 17:00,-1.0
11.02.2016 18:00,-2.0
11.02.2016 19:00,-3.0
11.02.2016 20:00,-4.0
12.02.2016 00:00,-3.0
12.02.2016 01:00,-3.0
12.02.2016 02:00,-4.0
12.02.2016 03:00,-5.0
12.02.2016 04:00,-4.0
12.02.2016 05:00,-4.0
12.02.2016 06:00,-5.0
12.02.2016 07:00,-4.0
12.02.2016 08:00,-4.0
12.02.2016 09:00,-4.0
12.02.2016 10:00,-3.0
12.02.2016 11:00,-3.0
12.02.2016 12:00,-2.0
12.02.2016 13:00,-1.0
12.02.2016 14:00,-1.0
12.02.2016 15:00,-1.0
12.02.2016 16:00,-1.0
12.02.2016 17:00,-3.0
12.02.2016 18:00,-4.0
12.02.2016 19:00,-4.0
12.02.2016 20:00,-4.0
13.02.2016 00:00,-2.0
13.02.2016 01:00,-2.0
13.02.2016 02:00,-2.0
13.02.2016 03:00,-2.0
13.02.2016 04:00,-3.0
13.02.2016 05:00,-2.0
13.02.2016 06:00,-2.0
13.02.2016 07:00,-1.0
13.02.2016 08:00,-1.0
13.02.2016 09:00,-0.0
13.02.2016 10:00,1.0
13.02.2016 11:00,2.0
13.02.2016 12:00,3.0
13.02.2016 13:00,3.0
13.02.2016 14:00,3.0
13.02.2016 15:00,2.0
13.02.2016 16:00,2.0
13.02.2016 17:00,1.0
13.02.2016 18:00,-0.0
13.02.2016 19:00,-0.0
13.02.2016 20:00,-1.0
14.02.2016 00:00,-0.0
14.02.2016 01:00,0.0
14.02.2016 02:00,0.0
14.02.2016 03:00,0.0
14.02.2016 04:00,0.0
14.02.2016 05:00,-0.0
14.02.2016 06:00,-0.0
14.02.2016 07:00,0.0
14.02.2016 08:00,-0.0
14.02.2016 09:00,0.0
14.02.2016 10:00,1.0
14.02.2016 11:00,1.0
14.02.2016 12:00,2.0
14.02.2016 13:00,2.0
14.02.2016 14:00,3.0
14.02.2016 15:00,2.0
14.02.2016 16:00,2.0
14.02.2016 17:00,2.0
14.02.2016 18:00,2.0
14.02.2016 19:00,2.0
14.02.2016 20:00,3.0
