cas,temperatura,vlaznost
08.02.2016 0:00,2.6,95
08.02.2016 1:00,2.5,97
08.02.2016 2:00,2.3,97
08.02.2016 3:00,2.4,98
08.02.2016 4:00,2.4,98
08.02.2016 5:00,2.5,98
08.02.2016 6:00,2.9,98
08.02.2016 7:00,2.7,98
08.02.2016 8:00,3.1,99
08.02.2016 9:00,3.7,98
08.02.2016 10:00,4.4,98
08.02.2016 11:00,4.7,97
08.02.2016 12:00,4.9,97
08.02.2016 13:00,5.2,96
08.02.2016 14:00,5.8,91
08.02.2016 15:00,6.2,91
08.02.2016 16:00,6.1,88
08.02.2016 17:00,5.7,90
08.02.2016 18:00,5.6,88
08.02.2016 19:00,5.1,91
08.02.2016 20:00,5.2,87
08.02.2016 21:00,5.1,85
08.02.2016 22:00,4.4,91
08.02.2016 23:00,4.6,90
09.02.2016 0:00,4.7,88
09.02.2016 1:00,4.4,86
09.02.2016 2:00,3.0,96
09.02.2016 3:00,3.0,94
09.02.2016 4:00,4.0,87
09.02.2016 5:00,3.3,92
09.02.2016 6:00,3.1,93
09.02.2016 7:00,4.1,87
09.02.2016 8:00,4.4,85
09.02.2016 9:00,4.7,84
09.02.2016 10:00,4.2,93
09.02.2016 11:00,5.5,87
09.02.2016 12:00,6.9,80
09.02.2016 13:00,6.6,80
09.02.2016 14:00,6.1,82
09.02.2016 15:00,5.7,85
09.02.2016 16:00,5.0,90
09.02.2016 17:00,5.1,89
09.02.2016 18:00,5.0,90
09.02.2016 19:00,4.9,90
09.02.2016 20:00,4.4,94
09.02.2016 21:00,4.2,94
09.02.2016 22:00,3.9,95
09.02.2016 23:00,3.3,95
10.02.2016 0:00,2.2,96
10.02.2016 1:00,0.8,96
10.02.2016 2:00,0.4,98
10.02.2016 3:00,0.4,98
10.02.2016 4:00,0.2,98
10.02.2016 5:00,0.3,98
10.02.2016 6:00,0.2,97
10.02.2016 7:00,-0.3,97
10.02.2016 8:00,-1.0,95
10.02.2016 9:00,-1.3,96
10.02.2016 10:00,-1.3,95
10.02.2016 11:00,-0.7,95
10.02.2016 12:00,-0.3,93
10.02.2016 13:00,0.3,91
10.02.2016 14:00,1.6,87
10.02.2016 15:00,0.5,91
10.02.2016 16:00,0.3,85
10.02.2016 17:00,-0.9,94
10.02.2016 18:00,-1.6,95
10.02.2016 19:00,-2.0,94
10.02.2016 20:00,-3.5,95
10.02.2016 21:00,-4.0,93
10.02.2016 22:00,-4.3,94
10.02.2016 23:00,-4.8,94
11.02.2016 0:00,-4.9,95
11.02.2016 1:00,-4.9,94
11.02.2016 2:00,-4.8,94
11.02.2016 3:00,-5.4,94
11.02.2016 4:00,-5.4,94
11.02.2016 5:00,-4.6,92
11.02.2016 6:00,-4.9,93
11.02.2016 7:00,-5.4,94
11.02.2016 8:00,-5.6,94
11.02.2016 9:00,-5.1,94
11.02.2016 10:00,-4.3,94
11.02.2016 11:00,-2.2,93
11.02.2016 12:00,0.3,84
11.02.2016 13:00,2.5,79
11.02.2016 14:00,3.0,77
11.02.2016 15:00,2.8,81
11.02.2016 16:00,1.5,87
11.02.2016 17:00,-0.1,93
