cas,temperatura,vlaznost
19.02.2016 0:00,2.0,87
19.02.2016 1:00,2.0,86
19.02.2016 2:00,2.0,87
19.02.2016 3:00,1.0,88
19.02.2016 4:00,1.0,88
19.02.2016 5:00,1.0,88
19.02.2016 6:00,1.0,89
19.02.2016 7:00,1.0,88
19.02.2016 8:00,1.0,90
19.02.2016 9:00,2.0,92
19.02.2016 10:00,2.0,87
19.02.2016 11:00,4.0,84
19.02.2016 12:00,5.0,82
19.02.2016 13:00,6.0,81
19.02.2016 14:00,6.0,82
19.02.2016 15:00,6.0,81
19.02.2016 16:00,6.0,81
19.02.2016 17:00,4.0,84
19.02.2016 18:00,3.0,89
19.02.2016 19:00,3.0,87
19.02.2016 20:00,3.0,89
19.02.2016 21:00,3.0,91
19.02.2016 22:00,2.0,89
19.02.2016 23:00,2.0,88
20.02.2016 0:00,1.0,96
20.02.2016 1:00,0.0,99
20.02.2016 2:00,0.0,99
20.02.2016 3:00,-1.0,99
20.02.2016 4:00,-1.0,96
20.02.2016 5:00,0.0,92
20.02.2016 6:00,1.0,90
20.02.2016 7:00,1.0,87
20.02.2016 8:00,1.0,88
20.02.2016 9:00,1.0,88
20.02.2016 10:00,2.0,84
20.02.2016 11:00,4.0,81
20.02.2016 12:00,5.0,82
20.02.2016 13:00,6.0,80
20.02.2016 14:00,6.0,80
20.02.2016 15:00,6.0,80
20.02.2016 16:00,5.0,78
20.02.2016 17:00,4.0,83
20.02.2016 18:00,3.0,87
20.02.2016 19:00,3.0,86
20.02.2016 20:00,3.0,86
20.02.2016 21:00,2.0,88
20.02.2016 22:00,2.0,86
20.02.2016 23:00,2.0,87
21.02.2016 0:00,2.0,84
21.02.2016 1:00,2.0,83
21.02.2016 2:00,1.0,87
21.02.2016 3:00,1.0,86
21.02.2016 4:00,1.0,85
21.02.2016 5:00,1.0,83
21.02.2016 6:00,1.0,85
21.02.2016 7:00,1.0,81
21.02.2016 8:00,1.0,85
21.02.2016 9:00,2.0,87
21.02.2016 10:00,3.0,82
21.02.2016 11:00,4.0,77
21.02.2016 12:00,6.0,77
21.02.2016 13:00,7.0,74
21.02.2016 14:00,7.0,75
